ingredient_slug,product_external_id,source,confidence,verified,blocked
chicken-breast,dm-chk-500,manual,1.00,1,0
chicken-breast,dm-chk-1000,manual,1.00,1,0
chicken-breast,dm-chk-mar-500,name_match,0.80,0,0
chicken-breast,dm-legacy-chk,name_match,0.70,0,0
rice,dm-rice-1000,manual,1.00,1,0
rice,dm-rice-5000,manual,1.00,0,0
tomatoes,dm-tom-1000,manual,1.00,1,0
tomatoes,dm-tom-500,manual,1.00,0,0
onions,dm-oni-1000,manual,1.00,1,0
milk,dm-milk-1000,manual,1.00,1,0
milk,dm-milk-250,manual,1.00,0,0
eggs,dm-egg-12,manual,1.00,1,0
eggs,dm-egg-30,manual,1.00,0,0
flour,dm-flour-1000,manual,1.00,1,0
sunflower-oil,dm-sunoil-1000,manual,1.00,1,0
sunflower-oil,dm-sunoil-2700,manual,1.00,0,0
olive-oil,dm-olive-500,manual,1.00,1,0
pasta,dm-pasta-400,manual,1.00,1,0
cream,dm-cream-200,manual,1.00,1,0
cream,dm-cream-500,manual,1.00,0,0
parmesan,dm-parm-100,manual,1.00,1,0
lentils,dm-lentil-500,manual,1.00,1,0
garlic,dm-garlic-200,manual,1.00,1,0
potatoes,dm-pot-2000,manual,1.00,1,0
yogurt,dm-yog-1000,manual,1.00,1,0
butter,dm-butter-200,manual,1.00,1,0
mozzarella,dm-moz-250,manual,1.00,1,0
cumin,dm-cumin-100,manual,1.00,1,0
chickpeas,dm-chick-400,manual,1.00,1,0
sugar,dm-sugar-1000,manual,1.00,1,0
butter,dm-olive-500,category_fallback,0.30,0,1
baladi-bread,dm-bakery-baladi,manual,1.00,1,0
