slug,name,name_ar,category,default_unit,grams_per_piece,allergens,possible_allergens,aliases,staple,perishable
allspice,allspice,بهار حلو,spices,g,,,,بهار حلو|allspice|بهارات حلوة|pimento|بهار افرنجي,1,0
almond-flour,almond flour,دقيق لوز,pantry,g,,nuts,,دقيق لوز|almond flour|almond meal|طحين اللوز,0,0
almonds,almonds,لوز,pantry,g,,nuts,,لوز|loz|almond,0,0
anchovy,anchovies,أنشوجة,protein,g,,fish,,anchovies|أنشوجة|انشوفي,0,1
anise,anise,ينسون,spices,g,,,,ينسون|yansoon|aniseed,1,0
apples,apples,تفاح,fruit,piece,160,,,apple|tofah|تفاحة,0,1
apricot,apricots,مشمش,fruit,piece,40,,,apricot|مشمش|meshmesh,0,1
areesh-cheese,areesh cheese,جبنة قريش,dairy,g,,dairy,,قريش|areesh|arish|3areesh|gebna areesh|جبنه قريش|cottage cheese|curd cheese,0,1
artichoke,artichoke,خرشوف,vegetables,piece,130,,,kharshouf|خرشوف|ardi shawki,0,1
asparagus,asparagus,هليون,vegetables,g,,,,هليون|اسبراجوس,0,1
avocado,avocado,أفوكادو,vegetables,piece,200,,,افوكادو|أفوكادو|avocados,0,1
baba-ganoush,baba ganoush,بابا غنوج,sauces,g,,sesame,,بابا غنوج|متبل|baba ghanoug|metabbal,0,1
bacon-beef,beef bacon,بيكون بقري,protein,g,20,,,beef bacon|بيكون,0,1
baguette,baguette,عيش فينو,bakery,piece,120,gluten,,fino|عيش فينو|فينو|feeno|feno,0,1
baking-chocolate,dark chocolate,شوكولاتة داكنة,pantry,g,,soy,,شوكولاتة دارك|dark chocolate,0,0
baking-powder,baking powder,بيكنج بودر,pantry,g,,,,بيكنج بودر|baking bowder|بيكنج باودر,1,0
baking-soda,baking soda,بيكربونات الصوديوم,pantry,g,,,,بيكنج صودا|بيكربونات|بيكربونات الصوديوم|bicarbonate of soda|bicarb|sodium bicarbonate|كربونات الصودا|صودا الخبز|bikarbonat,0,0
baladi-bread,baladi bread,عيش بلدي,bakery,piece,90,gluten,,aish|aish baladi|eish|eish baladi|flatbread|bread|عيش|خبز|eish masri|aish masri|عيش سن|bran bread|عيش بلدي سن,0,1
balsamic-vinegar,balsamic vinegar,خل بلسمي,sauces,ml,,,,خل بلسمي|balsamic|balsamic vinegar|خل البلسميك,0,0
bananas,bananas,موز,fruit,piece,120,,,banana|moz|موزة|mooz|moaz,0,1
barley,barley,شعير,carbs,g,,gluten,,شعير|shaeer|sha3eer|shaer,0,0
basil,basil,ريحان,vegetables,g,,,,ريحان|rihan|basilica,0,1
basmati-rice,basmati rice,أرز بسمتي,carbs,g,,,,بسمتي|basmati|roz basmati|ruz basmati,0,0
bay-leaf,bay leaf,ورق لورا,spices,piece,1,,,laurel|ورق لوري|wara2 lora|warak lora|wara lora,1,0
bbq-sauce,barbecue sauce,صوص باربكيو,sauces,ml,,,,باربكيو|bbq,0,0
beef-cubes,beef cubes,لحمة مكعبات,protein,g,,,,stewing beef|beef chunks|لحمة|لحم بقري,0,1
beef-fat,beef fat,شحم,protein,g,,,,شحم|shahm|شحم بقري|beef suet|دهن لحمة,0,1
beef-ribs,beef ribs,ضلوع,protein,g,,,,ضلوع|ribs|dolou3|ضلوع بقري|short ribs|ريش لحمة,0,1
beef-steak,beef steak,استيك بقري,protein,g,250,,,steak|beef steaks|entrecote|انتريكوت|استيك,0,1
beetroot,beetroot,بنجر,vegetables,g,150,,,beets|beet|بنجر|شمندر,0,1
bell-pepper,bell pepper,فلفل ألوان,vegetables,piece,140,,,capsicum|sweet pepper|red pepper|green pepper|yellow pepper|فلفل رومي|فلفل حلو|felfel alwan|felfel roumi|filfil alwan,0,1
black-eyed-peas,black-eyed peas,لوبيا,pantry,g,,,,lobia|لوبيا مجففة|loubia|lubia,0,0
black-pepper,black pepper,فلفل أسود,spices,tsp,2,,,pepper|felfel eswed|فلفل اسود|filfil eswed|felfel aswad|فلفل حب|peppercorns,1,0
bottarga,bottarga,بطارخ,protein,g,,fish,,بطارخ|batarekh|batarikh|salted fish roe|fish roe|بطارغ,0,0
brain,brain,مخ,protein,g,,,,مخ|mokh|brains|lamb brain|calf brain|مخ بتلو,0,1
breadcrumbs,breadcrumbs,بقسماط,bakery,g,,gluten,,بقسماط|bosmat|rusk|بقسماط أصابع|rusk fingers,0,0
broccoli,broccoli,بروكلي,vegetables,g,400,,,بروكلي|broccolli,0,1
brown-rice,brown rice,أرز بني,carbs,g,,,,ارز بني|roz bonni|ruz asmar,0,0
brown-sugar,brown sugar,سكر بني,pantry,g,,,,سكر بني|demerara,0,0
bulgur,bulgur,برغل,carbs,g,,gluten,,borghol|cracked wheat|برغل ناعم,0,0
burger-patty,burger patty,برجر,frozen,piece,100,,gluten,برجر|burger|beef burger|hamburger|burger patties|بورجر,0,0
butter,butter,زبدة,dairy,g,,dairy,,zebda|زبده|zubda|zebdah,0,1
buttermilk,buttermilk,لبن رايب,dairy,ml,,dairy,,لبن رايب|rayeb|laban rayeb|laban rayb,0,1
cabbage,cabbage,كرنب,vegetables,g,1000,,,koronb|كرنب|ملفوف|kromb|korumb,0,1
calamari,calamari,كاليماري,protein,g,,shellfish,,squid|كاليماري|حبار|سبيط,0,1
capers,capers,كبر,vegetables,g,,,,كبر|كبار|kabar|kabbar,0,0
caraway,caraway,كراوية,spices,g,,,,كراوية|karawya|karawia|carraway,1,0
cardamom,cardamom,حبهان,spices,g,,,,حبهان|hab han|hail|هيل|habahan,1,0
carob,carob,خروب,pantry,g,,,,خروب|kharoub|carob pods|مسحوق الخروب|kharoob,0,0
carrots,carrots,جزر,vegetables,piece,70,,,carrot|gazar|جزر بلدي|gazr|gazar baladi,0,1
cashews,cashews,كاجو,pantry,g,,nuts,,كاجو|cashew,0,0
catfish,catfish,قرموط,protein,g,,fish,,قرموط|karmout|garmout|qarmout|catfish,0,1
cauliflower,cauliflower,قرنبيط,vegetables,g,800,,,arnabeet|قرنبيط|زهرة,0,1
celery,celery,كرفس,vegetables,g,50,,,كرفس|karafs|krafs|karafs baladi,0,1
chamomile,chamomile,بابونج,spices,g,,,,بابونج|babounag|babonag|chamomile tea,0,0
chard,chard,سلق,vegetables,g,,,,سلق|selk|swiss chard|silq|ورق سلق,0,1
cheddar,cheddar cheese,جبنة شيدر,dairy,g,,dairy,,cheddar|شيدر|جبنة شيدر|gebna cheddar|gibna shedar,0,1
cherry-tomato,cherry tomatoes,طماطم شيري,vegetables,piece,15,,,شيري|طماطم شيري|cherry tomatos,0,1
chia,chia seeds,بذور الشيا,pantry,g,,,,شيا|chia,0,0
chicken-bones,chicken bones,عضم فراخ,protein,g,,,,عضم فراخ|chicken carcass|carcass|azm firakh|هيكل فراخ|chicken frame,0,1
chicken-breast,chicken breast,صدور فراخ,protein,g,180,,,chicken breasts|صدر فراخ|sedr|sedr firakh|صدر,0,1
chicken-drumstick,chicken drumsticks,دبابيس فراخ,protein,g,90,,,drumstick|دبابيس|دبابيس فراخ|dababees|chicken drumstick|دبوس فراخ,0,1
chicken-feet,chicken feet,رجل فراخ,protein,g,,,,رجل فراخ|chicken feet|كوارع فراخ|regl firakh,0,1
chicken-gizzards,chicken gizzards,كوانس,protein,g,,,,كوانس|kawanes|kawanis|gizzards|قوانص|gizzard|kawanes firakh,0,1
chicken-hearts,chicken hearts,قلوب فراخ,protein,g,,,,قلوب فراخ|قلوب|chicken hearts|hearts|olob firakh,0,1
chicken-liver,chicken livers,كبدة فراخ,protein,g,,,,kebda farakh|كبدة فراخ|kebda firakh|kabda farakh,0,1
chicken-thigh,chicken thighs,أوراك فراخ,protein,g,130,,,chicken thigh|أوراك|وراك فراخ|werk|ورك|wrak|awrak firakh,0,1
chicken-wings,chicken wings,أجنحة فراخ,protein,g,40,,,wings|اجنحة|جوانح,0,1
chickpeas,chickpeas,حمص,pantry,g,,,,garbanzo|hummus beans|حمص حب|homos|hommos|hommus|حمص ناشف,0,0
chili-flakes,chili flakes,شطة,spices,tsp,2,,,shatta|red pepper flakes|شطه|shata|shatta nashfa|whole dried chili|شطة مجففة,0,0
chili-pepper,chili pepper,شطة خضراء,vegetables,piece,15,,,chilli|hot pepper|فلفل حار|فلفل أخضر حار|felfel har|shatta khadra|filfil har,0,1
chili-powder,chili powder,شطة مطحونة,spices,g,,,,red pepper powder|shatta mat7ouna|shatta matehouna,1,0
chocolate,chocolate,شوكولاتة,pantry,g,,dairy|soy,,شوكولاتة|شيكولاتة|chocolate bar,0,0
chocolate-chips,chocolate chips,شوكولاتة شيبس,pantry,g,,,dairy|nuts,شوكولاتة شيبس|chocolate chips|chips شوكولاتة|choc chips|رقائق شوكولاتة,0,0
chocolate-spread,chocolate spread,شوكولاتة سبريد,pantry,g,,,nuts|dairy,نوتيلا|nutella|شوكولاتة سبريد|chocolate spread|كريمة شوكولاتة|hazelnut spread,0,0
cinnamon,cinnamon,قرفة,spices,tsp,2,,,erfa|قرفه|kerfa|qerfa|erfah,0,0
citric-acid,citric acid,ملح ليمون,pantry,g,,,,ملح ليمون|ملح الليمون|malh limon|malh lamoun|lemon salt|sour salt|حامض الليمون,0,0
clotted-cream,clotted cream,قشطة,dairy,g,,dairy,,قشطة|eshta|2eshta|qeshta|keshta|قشطه|kaymak,0,1
cloves,cloves,قرنفل,spices,g,,,,قرنفل|عويدة|oronfol|orunful|3weda,1,0
cocoa,cocoa powder,كاكاو,pantry,g,,,,كاكاو|cocoa,0,0
coconut,coconut,جوز الهند,fruit,g,,,,جوز الهند|coconut flesh|كوكونت,0,0
coconut-flakes,desiccated coconut,جوز هند مبشور,pantry,g,,,,جوز هند مبشور|coconut flakes|رقائق جوز الهند|coconut chips,0,0
coconut-milk,coconut milk,لبن جوز الهند,sauces,ml,,,,لبن جوز الهند|coconut cream|laban goz el hend|goz hend milk,0,0
coffee,coffee,بن,pantry,g,,,,قهوة|بن|coffee beans|نسكافيه|nescafe,0,0
condensed-milk,condensed milk,لبن مكثف,dairy,g,,dairy,,لبن مكثف|sweetened condensed milk,0,0
coriander,coriander,كزبرة,vegetables,bunch,50,,,cilantro|kozbara|كزبره خضراء|kosbara|kuzbara|kozbara khadra,0,1
coriander-ground,coriander seeds,كزبرة ناشفة,spices,tsp,2,,,ground coriander|كزبره ناشفه|kozbara nashfa|kuzbara nashfa,1,0
corn,sweetcorn,ذرة,vegetables,g,,,,corn|maize|ذرة|درة|corn on the cob,0,1
corn-flakes,corn flakes,كورن فليكس,pantry,g,,,gluten,كورن فليكس|cornflakes|corn flake|رقائق الذرة|kornfleks|kornflex,0,0
corn-oil,corn oil,زيت ذرة,pantry,ml,,,,زيت ذرة|زيت الذرة,1,0
corn-syrup,corn syrup,شراب الذرة,pantry,ml,,,,شراب ذرة|glucose syrup|جلوكوز|glucose syrup,0,0
cornflour,cornflour,نشا,carbs,g,,,,cornstarch|نشا|نشاء|nesha|nisha,0,0
cornmeal,cornmeal,دقيق ذرة,carbs,g,,,,دقيق ذرة|polenta,0,0
couscous,couscous,كسكسي,carbs,g,,gluten,,كسكسي|kuskusi|kouskous|koskos,0,0
