slug,unit,quantity,low_minor,avg_minor,high_minor
chicken-breast,kg,1,16000,19000,23000
chicken-thigh,kg,1,11000,13500,16000
ground-beef,kg,1,32000,38000,45000
beef-cubes,kg,1,34000,40000,48000
eggs,piece,1,450,550,700
tuna-can,can,1,4500,5800,7500
tilapia,kg,1,9000,12000,15000
shrimp,kg,1,32000,42000,55000
sausage,kg,1,22000,27000,33000
liver,kg,1,20000,24000,29000
fava-beans,kg,1,3500,4500,6000
lentils,kg,1,5000,6500,8500
chickpeas,kg,1,6000,7500,9500
white-beans,kg,1,5500,7000,9000
black-eyed-peas,kg,1,5500,7000,9000
rice,kg,1,3000,3800,5000
pasta,kg,1,2200,3000,4200
baladi-bread,piece,1,100,150,300
toast-bread,pack,1,2500,3500,4500
potatoes,kg,1,1200,1800,2600
bulgur,kg,1,4000,5200,6800
flour,kg,1,1800,2400,3200
vermicelli,pack,1,2500,3200,4200
tomatoes,kg,1,1000,1600,2600
onions,kg,1,1200,1800,2800
garlic,kg,1,6000,8000,11000
cucumber,kg,1,1200,1800,2800
bell-pepper,kg,1,2500,3500,5000
zucchini,kg,1,1400,2000,3000
eggplant,kg,1,1200,1800,2800
carrots,kg,1,1400,2000,3000
molokhia,pack,1,2500,3500,4800
okra,kg,1,3000,4200,5800
spinach,kg,1,1500,2200,3200
lettuce,piece,1,1000,1500,2200
parsley,bunch,1,300,500,800
coriander,bunch,1,300,500,800
green-onion,bunch,1,400,700,1000
green-peas,kg,1,4000,5200,6800
lemon,kg,1,2000,3000,5000
bananas,kg,1,2000,2800,4000
dates,kg,1,6000,9000,14000
apples,kg,1,5000,7000,10000
milk,l,1,3500,4500,5800
white-cheese,kg,1,9000,12000,16000
mozzarella,kg,1,18000,23000,29000
roumy-cheese,kg,1,28000,34000,42000
yogurt,piece,1,800,1100,1500
cream,pack,1,4500,6000,8000
butter,kg,1,28000,36000,46000
olive-oil,l,1,30000,42000,60000
sunflower-oil,l,1,6500,8000,10000
tomato-paste,can,1,2000,2800,3800
vinegar,l,1,1500,2200,3000
tahini,pack,1,6000,8000,11000
honey,pack,1,12000,18000,28000
sugar,kg,1,2800,3400,4200
peanut-butter,pack,1,12000,16000,22000
oats,kg,1,7000,9500,13000
walnuts,kg,1,45000,60000,80000
salt,kg,1,500,800,1200
black-pepper,kg,1,20000,28000,38000
cumin,kg,1,15000,20000,28000
paprika,kg,1,14000,19000,26000
coriander-ground,kg,1,10000,14000,19000
cinnamon,kg,1,16000,22000,30000
bay-leaf,kg,1,8000,12000,18000
chili-flakes,kg,1,14000,19000,26000
dukkah,kg,1,18000,24000,32000
